Borrower_ID,Income,Credit_Score,Debt_To_Income_Ratio,Missed_Payments_30D,Employment_Duration,Loan_Purpose,Default
1,54000,710,0.28,0,4.5,Debt_Consolidation,0
2,32000,580,0.48,2,1.2,Medical,1
3,85000,690,0.15,0,8.0,Investment,0
4,41000,,0.38,1,2.5,Education,1
5,120000,780,0.12,0,12.0,Investment,0
6,28000,520,0.55,3,0.5,Medical,1
7,63000,640,0.32,1,3.1,Debt_Consolidation,0
8,72000,740,0.22,0,6.0,Education,0
9,49000,610,0.42,2,1.8,Debt_Consolidation,1
10,95000,,0.19,0,9.5,Investment,0
11,35000,590,0.51,1,99.0,Medical,1
12,110000,790,0.08,0,14.0,Investment,0
13,51000,630,0.36,0,2.8,Debt_Consolidation,0
14,43000,570,0.46,2,1.5,Education,1
15,68000,720,0.25,0,5.2,Debt_Consolidation,0
16,31000,540,0.58,3,0.8,Medical,1
17,88000,700,0.17,0,8.5,Investment,0
18,45000,,0.34,1,3.0,Education,0
19,115000,760,0.14,0,11.0,Investment,0
20,29000,530,0.52,2,0.4,Medical,1
21,55000,680,0.29,0,4.2,Debt_Consolidation,0
22,33000,595,0.47,1,1.1,Medical,1
23,82000,715,0.16,0,7.8,Investment,0
24,39000,,0.39,2,2.2,Education,1
25,125000,800,0.11,0,13.0,Investment,0
26,27000,510,0.57,3,0.6,Medical,1
27,61000,650,0.31,0,3.5,Debt_Consolidation,0
28,75000,730,0.21,0,6.5,Education,0
29,47000,600,0.44,1,1.9,Debt_Consolidation,1
30,98000,750,0.18,0,10.0,Investment,0
31,36000,585,0.49,2,99.0,Medical,1
32,105000,785,0.09,0,12.5,Investment,0
33,52000,645,0.35,0,2.9,Debt_Consolidation,0
34,42000,560,0.45,1,1.7,Education,1
35,66000,710,0.26,0,5.0,Debt_Consolidation,0
36,30000,550,0.54,3,0.7,Medical,1
37,86000,695,0.16,0,8.2,Investment,0
38,44000,,0.35,0,3.2,Education,0
39,112000,770,0.13,0,11.5,Investment,0
40,26000,500,0.59,2,0.3,Medical,1
41,57000,690,0.27,0,4.8,Debt_Consolidation,0
42,34000,575,0.46,1,1.3,Medical,1
43,84000,725,0.14,0,8.1,Investment,0
44,40000,605,0.41,2,2.0,Education,1
45,130000,810,0.10,0,15.0,Investment,0
46,25000,490,0.62,4,0.2,Medical,1
47,64000,660,0.33,1,3.8,Debt_Consolidation,0
48,77000,735,0.23,0,6.8,Education,0
49,46000,590,0.43,2,1.6,Debt_Consolidation,1
50,92000,,0.20,0,9.0,Investment,0
51,38000,565,0.53,1,1.0,Medical,1
52,108000,795,0.07,0,13.5,Investment,0
53,50000,625,0.37,0,2.6,Debt_Consolidation,0
54,45000,555,0.48,3,1.4,Education,1
55,69000,705,0.24,0,5.5,Debt_Consolidation,0
56,31500,535,0.56,2,0.9,Medical,1
57,89000,705,0.18,0,8.7,Investment,0
58,43500,,0.33,0,2.9,Education,0
59,118000,755,0.15,0,12.0,Investment,0
60,28500,525,0.51,1,0.5,Medical,1
61,56000,675,0.30,0,4.4,Debt_Consolidation,0
62,32500,585,0.49,2,1.0,Medical,1
63,81000,710,0.17,0,7.6,Investment,0
64,38500,,0.40,1,2.4,Education,1
65,122000,795,0.12,0,12.8,Investment,0
66,26500,505,0.58,3,0.4,Medical,1
67,62000,645,0.32,0,3.3,Debt_Consolidation,0
68,74000,725,0.22,0,6.3,Education,0
69,48500,605,0.42,1,2.1,Debt_Consolidation,1
70,96000,745,0.19,0,9.8,Investment,0
71,35500,575,0.50,2,99.0,Medical,1
72,102000,780,0.10,0,11.8,Investment,0
73,53500,635,0.34,0,3.1,Debt_Consolidation,0
74,41500,565,0.44,2,1.6,Education,1
75,65000,715,0.27,0,5.1,Debt_Consolidation,0
76,29500,545,0.53,3,0.6,Medical,1
77,87000,690,0.15,0,8.4,Investment,0
78,44500,,0.36,1,3.3,Education,0
79,114000,765,0.14,0,11.2,Investment,0
80,25500,495,0.60,2,0.2,Medical,1
81,58000,685,0.28,0,4.9,Debt_Consolidation,0
82,33500,570,0.47,1,1.2,Medical,1
83,83500,720,0.15,0,7.9,Investment,0
84,40500,610,0.42,3,1.9,Education,1
85,128000,805,0.11,0,14.5,Investment,0
86,24500,485,0.65,4,0.1,Medical,1
87,64500,655,0.34,0,3.9,Debt_Consolidation,0
88,76500,740,0.24,0,6.7,Education,0
89,45500,595,0.45,2,1.5,Debt_Consolidation,1
90,91000,,0.21,0,8.8,Investment,0
91,37500,560,0.52,2,1.1,Medical,1
92,109000,790,0.08,0,13.8,Investment,0
93,49500,620,0.38,0,2.5,Debt_Consolidation,0
94,44500,550,0.49,3,1.3,Education,1
95,69500,700,0.23,0,5.6,Debt_Consolidation,0
96,32000,530,0.55,2,0.8,Medical,1
97,89500,710,0.19,0,8.9,Investment,0
98,42500,,0.32,0,2.8,Education,0
99,119000,760,0.16,0,12.2,Investment,0
100,27500,520,0.53,2,0.4,Medical,1
